Name,Id,StatusCode
FERRARA-CONA OSPEDALE,S05193,NoContent
FIORANO,S05182,NoContent
FOGNANO,S06618,NoContent
FONTAN SAORGE,S00621,NoContent
FONTANA LIRI,S08818,NoContent
FONTANA LIRI INFERIORE,S08819,NoContent
FONTANAROSA,S09199,NoContent
FONYOD,S03491,NoContent
FORMIGINE,S05183,NoContent
FRANCIOSA,S09842,NoContent
FRASSO,S08806,NoContent
FRUTIGEN,S07478,NoContent
GAMBERALE-S.ANGELO P.,S07997,NoContent
"GARGAZZONE ",S02218,NoContent
GAVIGNANO,S08241,NoContent
GENOVA SAN QUIRICO,S04213,NoContent
GENOVA VOLTRI MARE,S04541,NoContent
GERMAGNANO,S00096,NoContent
GIOVI,S06084,NoContent
GIUBIASCO,S00850,NoContent
GOPPESTEIN,S07474,NoContent
GROANE,S01927,NoContent
GRUGLIASCO,S00059,NoContent
GUADAGNA,S12144,NoContent
GUALTIERI,S05961,NoContent
GUARDA,S05998,NoContent
GUASTALLA,S05960,NoContent
GYEKENYES,S00125,NoContent
HORB,S29399,NoContent
IL CIONFO,S06958,NoContent
INVERIGO,S01093,NoContent
ISELLE DI TRASQUERA,S01952,NoContent
JENBACH,S01176,NoContent
KANDERSTEG,S07475,NoContent
KARLSRUHE HBF,S01800,NoContent
KNITTEFELD,S03612,NoContent
KOELN HBF,S02100,NoContent
KRIZEVCI,S73107,NoContent
LA BRIGUE,S00634,NoContent
LA RUSTICA UIR,S08514,NoContent
LABICO,S08654,NoContent
LAMBRUGO - LURAGO D'ERBA,S01094,NoContent
LAMEZIA TERME AEROPORTO,S17014,NoContent
LANCIANO,S07986,NoContent
LANZO,S00095,NoContent
LAPIO,S09604,NoContent
LASCARI,S12070,NoContent
LASTRA A SIGNA,S06001,NoContent
LE CAVE,S02009,NoContent
LEVATA,S02019,NoContent
LISIDE,S11124,NoContent
LOLLI,S12143,NoContent
LUCIGNANO - MARCIANO - POZZO,S06069,NoContent
LUNI,S06003,NoContent
LUZZARA,S05958,NoContent
LYON ST EXUPERY,S76290,NoContent
MACCAGNO,S13653,NoContent
MACERATA UNIVERSITA',S07314,NoContent
MADONNA DELLE GRAZIE,S09773,NoContent
MADONNA DI CAMPAGNA,S00083,NoContent
MAGNA GRECIA,S11042,NoContent
MAGNACAVALLO,S05159,NoContent
MALPENSA AEROPORTO T1,S01139,NoContent
MALPENSA AEROPORTO T2,S01146,NoContent
MANDRAS,S12898,NoContent
MARCONI,S11121,NoContent
MARTINSICURO,S07515,NoContent
MASI TORELLO,S05171,NoContent
MASSAFISCAGLIA,S05179,NoContent
MATHI,S00093,NoContent
MATREI,S02263,NoContent
MATTARELLO,S02040,NoContent
MEDA,S01087,NoContent
MELZO SCALO,S02215,NoContent
MEMMENANO,S06075,NoContent
MENTON,S75648,NoContent
MEZZOLARA,S05997,NoContent
MIGLIARINO,S05176,NoContent
MIGLIARO,S05178,NoContent
MILANO AFFORI,S01078,NoContent
MILANO BRUZZANO,S01079,NoContent
MILANO FARINI,S01644,NoContent
MILANO FORLANINI,S01492,NoContent
MILANO NORD CADORNA,S01066,NoContent
MILANO NORD DOMODOSSOLA,S01067,NoContent
"MILANO NORD QUARTO OGGIARO ",S01069,NoContent
MILANO REPUBBLICA,S01648,NoContent
MILANO TIBALDI,S01022,NoContent
MILANO VILLAPIZZONE,S01639,NoContent
MIRAMARE,S03311,NoContent
MODANE,S00201,NoContent
MODANE FX,S00190,NoContent
MODENA PIAZZA MANZONI,S05188,NoContent
MODUGNO,S11516,NoContent
MODUGNO,S11500,NoContent
MOIMACCO,S03058,NoContent
MOLINELLA,S05018,NoContent
MONSAMPOLO DEL T,S07023,NoContent
MONTE AMIATA,S06818,NoContent
MONTE S. SAVINO,S06068,NoContent
MONTREUX,S01235,NoContent
MORREA-CASTRONOVO-RENDINARA,S08813,NoContent
MUFFA,S05974,NoContent
N.D.,S00000,NoContent
NAGYKANIZSA,S03624,NoContent
NAPOLI AFRAGOLA,S09988,NoContent
NAPOLI SCALO MERCI,S09010,NoContent
NAPOLI TRACCIA,S09220,NoContent
NEPEZZANO-PIANO D'ACCIO,S07026,NoContent
NOLA INTERPORTO,S09699,NoContent
NOLE,S00091,NoContent
NOTO BAGNI,S12446,NoContent
NOVA GORICA,S03303,NoContent
NOVARA FERROVIA NORD MILANO,S00023,NoContent
NOVATE MILANESE,S01070,NoContent
NOVELLARA,S05940,NoContent
OFFICINE G.R. SALINE JONICHE,S11968,NoContent
OLTEN,S01150,NoContent
ORMEA,S00927,NoContent
OSTELLATO,S05175,NoContent
OTTAVIA,S08324,NoContent
P.M. RENO,S05047,NoContent
P.M.TORRICCHIO,S09717,NoContent
PADERNO DUGNANO,S01082,NoContent
PADOVA CAMPO MARTE,S02650,NoContent
PALAZZOLO,S01083,NoContent
PANTANELLA,S08699,NoContent
PARCO PRENESTINO,S08495,NoContent
PARCO PRENESTINO BIN. ESTERNI,S08498,NoContent
PASTENA,S09836,NoContent
PEGOGNAGA,S05154,NoContent
PERCA,S02060,NoContent
PERCIANTI ARIANELLO,S09627,NoContent
PERPIGNAN,S78400,NoContent
PERTOSA,S09921,NoContent
PERUGIA SILVESTRINI,S07013,NoContent
PERUGIA UNIVERSITA',S07006,NoContent
PESCANTINA,S02057,NoContent
PIANA DI M.VERNA,S09026,NoContent
PIANIBBIE,S07990,NoContent
PIAZZOLA,S05924,NoContent
PIEDIMONTE MATESE,S09999,NoContent
PIEDIMONTE-V.S.L.-AQUINO,S08680,NoContent
PIEVE EMANUELE,S01104,NoContent
PIEVE SALICETO,S05962,NoContent
PILASTRINO,S05970,NoContent
PINO CONFINE,S13966,NoContent
PINO T.,S01110,NoContent
PIOVE DI SACCO,S02598,NoContent
PISTOIA OVEST,S05151,NoContent
PIVKA,S44100,NoContent
